time(s),robot.pos.x(m),robot.pos.y(m),robot.pos.rz(rad),robot.vel.x(m),robot.vel.y(m),robot.vel.rz(rad),decawave.x,decawave.y
81513.842, 0, 0, 0, 0, 0, 0, -6.5, -1
81513.875, 0, 0, 0, -0, 0, 0, -6.5, -1
81513.899, 0, 0, 0, -0, 0, 0, -6.5, -1
81513.926, 0, 0, 0, -0, 0, 0, -6.5, -1
81513.953, 0, 0, 0, -0, 0, 0, -6.5, -1
81513.984, 0, 0, 0, -0, 0, 0, -6.5, -1
81514.008, 0, 0, 0, -0, 0, 0, -6.5, -1
81514.033, 0, 0, 0, -0, 0, 0, -6.5, -1
81514.061, 0, 0, 0, -0, 0, 0, -6.5, -1
81514.089, 0, 0, 0, -0, 0, 0, -6.5, -1
81514.115, 0, 0, 0, -0, 0, 0, -6.5, -1
81514.142, 0, 0, 0, -0, 0, 0, -6.5, -1
81514.167, 0, 0, 0, -0, 0, 0, -6.5, -1
81514.194, 0, 0, 0, -0, 0, 0, -6.5, -1
81514.221, 0, 0, 0, -0, 0, 0, -6.5, -1
81514.25, 0, 0, 0, -0, 0, 0, -6.5, -1
81514.274, 0, 0, 0, -0, 0, 0, -6.5, -1
81514.3, 0, 0, 0, -0, 0, 0, -6.5, -1
81514.326, 0, 0, 0, -0, 0, 0, -6.5, -1
81514.352, 0, 0, 0, -0, 0, 0, -6.5, -1
81514.381, 0, 0, 0, -0, 0, 0, -6.5, -1
81514.406, 0, 0, 0, -0, 0, 0, -6.5, -1
81514.43, 0, 0, 0, -0, 0, 0, -6.5, -1
81514.457, 0, 0, 0, -0, 0, 0, -6.5, -1
81514.483, 0, 0, 0, -0, 0, 0, -6.5, -1
81514.511, 0, 0, 0, -0, 0, 0, -6.5, -1
81514.536, 0, 0, 0, -0, 0, 0, -6.5, -1
81514.561, 0, 0, 0, -0, 0, 0, -6.5, -1
81514.588, 0, 0, 0, -0, 0, 0, -6.5, -1
81514.615, 0, 0, 0, -0, 0, 0, -6.5, -1
81514.642, 0, 0, 0, -0, 0, 0, -6.5, -1
81514.668, 0, 0, 0, -0, 0, 0, -6.5, -1
81514.694, 0, 0, 0, -0, 0, 0, -6.5, -1
81514.722, 0, 0, 0, -0, 0, 0, -6.5, -1
81514.748, 0, 0, 0, -0, 0, 0, -6.5, -1
81514.778, 0, 0, 0, -0, 0, 0, -6.5, -1
81514.805, 0, 0, 0, -0, 0, 0, -6.5, -1
81514.829, 0, 0, 0, -0, 0, 0, -6.5, -1
81514.855, 0, 0, 0, -0, 0, 0, -6.5, -1
81514.886, 0, 0, 0, -0, 0, 0, -6.5, -1
81514.913, 0, 0, 0, -0, 0, 0, -6.5, -1
81514.936, 0, 0, 0, -0, 0, 0, -6.5, -1
81514.966, 0, 0, 0, -0, 0, 0, -6.5, -1
81514.993, 0, 0, 0, -0, 0, 0, -6.5, -1
81515.018, 0, 0, 0, -0, 0, 0, -6.5, -1
81515.048, 0, 0, 0, -0, 0, 0, -6.5, -1
81515.07, 0, 0, 0, -0, 0, 0, -6.5, -1
81515.097, 0, 0, 0, -0, 0, 0, -6.5, -1
81515.122, 0, 0, 0, -0, 0, 0, -6.5, -1
81515.148, 0, 0, 0, -0, 0, 0, -6.5, -1
81515.175, 0, 0, 0, -0, 0, 0, -6.5, -1
81515.2, 0, 0, 0, -0, 0, 0, -6.5, -1
81515.227, 0, 0, 0, -0, 0, 0, -6.5, -1
81515.252, 0, 0, 0, -0, 0, 0, -6.5, -1
81515.282, 0, 0, 0, -0, 0, 0, -6.5, -1
81515.308, 0, 0, 0, -0, 0, 0, -6.5, -1
81515.332, 0, 0, 0, -0, 0, 0, -6.5, -1
81515.36, 0, 0, 0, -0, 0, 0, -6.5, -1
81515.386, 0, 0, 0, -0, 0, 0, -6.5, -1
81515.416, 0, 0, 0, -0, 0, 0, -6.5, -1
81515.44, 0, 0, 0, -0, 0, 0, -6.5, -1
81515.468, 0, 0, 0, -0, 0, 0, -6.5, -1
81515.493, 0, 0, 0, -0, 0, 0, -6.5, -1
81515.519, 0, 0, 0, -0, 0, 0, -6.5, -1
